{'timestamp': '2024-04-29 16:09:28', 'path': '/login/', 'method': 'GET', 'response_time': 0.007998228073120117}
{'timestamp': '2024-04-29 16:09:34', 'path': '/login/', 'method': 'POST', 'response_time': 0.34599828720092773}
{'timestamp': '2024-04-29 16:09:34', 'path': '/', 'method': 'GET', 'response_time': 0.0029997825622558594}
{'timestamp': '2024-04-29 16:09:37', 'path': '/posts/', 'method': 'GET', 'response_time': 0.007000923156738281}
{'timestamp': '2024-04-29 16:09:40', 'path': '/posts/2', 'method': 'GET', 'response_time': 0.0060045719146728516}
{'timestamp': '2024-04-29 16:09:40', 'path': '/posts/2/', 'method': 'GET', 'response_time': 0.020087242126464844}
{'timestamp': '2024-04-29 16:09:40', 'path': '/media/изображение_2024-04-18_183310746.png', 'method': 'GET', 'response_time': 0.03799915313720703}
{'timestamp': '2024-04-29 16:09:48', 'path': '/posts/2/add_review/', 'method': 'POST', 'response_time': 0.04799914360046387}
{'timestamp': '2024-04-29 16:16:39', 'path': '/', 'method': 'GET', 'response_time': 0.007080554962158203}
{'timestamp': '2024-04-29 16:16:40', 'path': '/', 'method': 'GET', 'response_time': 0.0010120868682861328}
{'timestamp': '2024-04-29 16:16:40', 'path': '/', 'method': 'GET', 'response_time': 0.0010075569152832031}
{'timestamp': '2024-04-29 16:16:40', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:41', 'path': '/', 'method': 'GET', 'response_time': 0.0009989738464355469}
{'timestamp': '2024-04-29 16:16:41', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:41', 'path': '/', 'method': 'GET', 'response_time': 0.0010883808135986328}
{'timestamp': '2024-04-29 16:16:41', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:41', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:42', 'path': '/', 'method': 'GET', 'response_time': 0.0009918212890625}
{'timestamp': '2024-04-29 16:16:42', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:42', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 16:16:43', 'path': '/posts/', 'method': 'GET', 'response_time': 0.001999378204345703}
{'timestamp': '2024-04-29 16:16:45', 'path': '/', 'method': 'GET', 'response_time': 0.001004934310913086}
{'timestamp': '2024-04-29 16:16:45', 'path': '/posts/', 'method': 'GET', 'response_time': 0.0010004043579101562}
{'timestamp': '2024-04-29 16:16:48', 'path': '/login/', 'method': 'GET', 'response_time': 0.006009817123413086}
{'timestamp': '2024-04-29 16:16:54', 'path': '/login/', 'method': 'POST', 'response_time': 0.33699893951416016}
{'timestamp': '2024-04-29 16:16:56', 'path': '/register/', 'method': 'GET', 'response_time': 0.023118257522583008}
{'timestamp': '2024-04-29 16:18:16', 'path': '/register/', 'method': 'POST', 'response_time': 0.1789999008178711}
{'timestamp': '2024-04-29 16:19:51', 'path': '/register/', 'method': 'POST', 'response_time': 0.019000768661499023}
{'timestamp': '2024-04-29 16:20:30', 'path': '/register/', 'method': 'POST', 'response_time': 0.45649027824401855}
{'timestamp': '2024-04-29 16:21:48', 'path': '/register/', 'method': 'POST', 'response_time': 0.4093210697174072}
{'timestamp': '2024-04-29 16:22:54', 'path': '/login/', 'method': 'GET', 'response_time': 0.00900125503540039}
{'timestamp': '2024-04-29 16:23:02', 'path': '/login/', 'method': 'POST', 'response_time': 0.3500096797943115}
